Time Stamp,X_Acc,Y_Acc,Z_Acc,X_Orient,Y_Orient,Z_Orient
'21-Oct-2021 12:25:50.828',3.565306,-10.277771,5.181059,48.489323,75.808816,-34.067583
'21-Oct-2021 12:25:50.847',4.555336,-10.958829,5.471787,48.874546,75.343639,-32.71592
'21-Oct-2021 12:25:50.866',4.287041,-11.442478,5.504389,49.161174,74.520123,-31.309321
'21-Oct-2021 12:25:50.885',3.238386,-11.452049,5.452645,50.007503,73.204287,-30.495534
'21-Oct-2021 12:25:50.904',2.738286,-10.943275,5.24088,51.336743,71.44048,-30.117384
'21-Oct-2021 12:25:50.923',3.061317,-10.240683,5.066204,52.559982,69.274155,-29.750603
'21-Oct-2021 12:25:50.942',3.859922,-9.846765,4.241278,53.27428,66.830491,-29.413018
'21-Oct-2021 12:25:50.961',4.727619,-9.796515,3.739683,53.427553,64.248919,-29.141193
'21-Oct-2021 12:25:50.980',5.497211,-9.97508,4.097709,53.269059,61.650906,-28.666123
'21-Oct-2021 12:25:50.999',5.760721,-10.148559,4.578965,53.268724,59.126352,-27.909756
'21-Oct-2021 12:25:51.018',5.412266,-10.215558,4.942974,53.719834,56.613273,-27.017534
'21-Oct-2021 12:25:51.037',4.932206,-10.164112,4.852943,54.675719,54.022961,-26.074235
'21-Oct-2021 12:25:51.056',4.593621,-9.948758,4.87089,55.998628,51.352774,-25.030024
'21-Oct-2021 12:25:51.075',4.390231,-9.579965,5.354539,57.533101,48.682091,-23.803851
'21-Oct-2021 12:25:51.094',4.344469,-9.254242,6.084948,59.184921,46.087647,-22.423306
'21-Oct-2021 12:25:51.113',4.433302,-9.006584,6.215357,60.924427,43.55628,-21.011762
'21-Oct-2021 12:25:51.132',4.458427,-8.500203,6.021239,62.73218,41.013555,-19.734834
'21-Oct-2021 12:25:51.151',4.46082,-7.767701,6.366105,64.670266,38.432815,-18.660592
'21-Oct-2021 12:25:51.170',4.393821,-7.071987,6.461818,66.788636,35.897856,-17.81042
'21-Oct-2021 12:25:51.189',4.165007,-6.681957,6.528817,69.039491,33.459659,-17.069862
'21-Oct-2021 12:25:51.208',3.657429,-6.576673,6.522834,71.42559,31.138156,-16.167787
'21-Oct-2021 12:25:51.227',3.031407,-6.382555,7.189834,73.869964,28.926206,-14.86675
'21-Oct-2021 12:25:51.246',2.407778,-6.051149,8.035995,76.363919,26.857117,-13.29111
'21-Oct-2021 12:25:51.265',1.962414,-5.798408,8.189137,78.854554,24.845254,-11.716952
'21-Oct-2021 12:25:51.284',1.809273,-5.734998,8.18794,81.317521,22.773087,-10.309068
'21-Oct-2021 12:25:51.303',1.647758,-5.653642,8.183154,83.69261,20.637447,-9.018707
'21-Oct-2021 12:25:51.322',1.318445,-5.4009,8.854939,86.010892,18.495978,-7.769164
'21-Oct-2021 12:25:51.341',1.190429,-5.347061,10.425229,88.301621,16.395531,-6.628469
'21-Oct-2021 12:25:51.360',1.689632,-5.653642,10.916057,90.56281,14.27862,-5.61672
'21-Oct-2021 12:25:51.379',2.007877,-5.725426,9.395718,92.837325,12.000186,-4.733395
'21-Oct-2021 12:25:51.398',1.45364,-5.067101,7.710273,95.176391,9.542657,-4.136305
'21-Oct-2021 12:25:51.417',0.43011,-4.001697,6.546763,97.606702,7.024898,-3.735304
'21-Oct-2021 12:25:51.436',-0.559621,-2.924328,5.960222,100.046965,4.597767,-3.166553
'21-Oct-2021 12:25:51.455',-1.52692,-1.827817,5.225327,102.427593,2.382251,-2.286254
